mlt-python-bindings 6.2.0-1
mousepad 0.4.0-2
mozilla-common 1.4-4
mp3wrap 0.5-4
mpfr 3.1.4.p1-1
mpg123 1.22.4-1
mplayer 37857-1
mtdev 1.1.5-1
mupdf 1.9_a-3
musicbrainz 2.1.5-7
mypaint 1.2.0-3
mysql-python 1.2.5-1
nano 2.5.3-2
nasm 2.11.08-2
ncurses 6.0-4
neon 0.30.1-2
net-snmp 5.7.3-2
net-tools 1.60.20130531git-1
netcdf 4.4.1rc1-1
netctl 1.11-1
nettle 3.2-2
nmap 7.12-1
nodejs 6.1.0-1
nodejs-grunt-cli 1.2.0-1
npm 3.8.9-1
npth 1.2-1
nspr 4.12-1
nss 3.23-3
nss-mdns 0.10-6
ntfs-3g 2016.2.22-1
ntp 4.2.8.p7-1
numix-themes 2.5.1.r233.a6be634-1
numlockx 1.2-3
nvidia-340xx 340.96-12
nvidia-340xx-libgl 340.96-1
nvidia-340xx-lts 340.96-7
nvidia-340xx-utils 340.96-1
nxproxy 3.5.0.32-2
ocl-icd 2.2.9-1
oniguruma 6.0.0-1
openal 1.17.2-2
opencollada 20150702-3
opencolorio 1.0.9-4
opencore-amr 0.1.3-2
opencv 3.1.0-3
openexr 2.2.0-3
openimageio 1.6.12-1
openjpeg 1.5.2-1
openjpeg2 2.1.0-1
openresolv 3.7.2-1
openshadinglanguage 1.7.2-1
openshot 1.4.3-6
openssh 7.2p2-1
openssl 1.0.2.h-1
opensubdiv 3.0.2-3
openvdb 3.1.0-3
optipng 0.7.6-1
opus 1.1.2-1
orage 4.12.1-3
orbit2 2.14.19-3
orc 0.4.25-1
os-prober 1.71-1
p11-kit 0.23.2-1
p7zip 15.14.1-1
packagekit 1.1.1-2
pacman 5.0.1-3
pacman-mirrorlist 20160511-1
pam 1.2.1-3
pambase 20130928-1
pango 1.40.1-1
pango-perl 1.227-1
pangomm 2.40.0-1
pangox-compat 0.0.2-2
parole 0.8.1-3
parted 3.2-4
patch 2.7.5-1
pciutils 3.4.1-1
pcmciautils 018-7
pcre 8.38-3
perl 5.22.2-1
perl-anyevent 4:7.12-1
perl-async-interrupt 1.21-2
perl-bit-vector 7.4-2
perl-canary-stability 2011-2
perl-capture-tiny 0.36-1
perl-carp-clan 6.04-3
perl-class-accessor 0.34-4
perl-class-data-inheritable 0.08-6
perl-clone 0.38-1
perl-common-sense 3.74-1
perl-cpan-perl-releases 2.58-1
perl-curses 1.33-1
perl-data-dump 1.23-1
perl-data-random 0.12-1
perl-date-calc 6.4-1
perl-dbi 1.636-1
perl-devel-patchperl 1.40-1
perl-digest-hmac 1.03-3
perl-digest-sha1 2.13-6
perl-encode-locale 1.05-1
perl-error 0.17024-1
perl-ev 4.22-1
perl-extutils-depends 0.405-1
perl-extutils-pkgconfig 1.15-1
perl-file-basedir 0.07-1
perl-file-listing 6.04-2
perl-file-path-tiny 0.8-1
perl-file-pushd 1.009-1
perl-file-slurp-tiny 0.004-1
perl-file-which 1.21-1
perl-gd 2.56-3
perl-gnome2-wnck 0.16-10
perl-goo-canvas 0.06-5
perl-gtk2-imageview 0.05-5
perl-gtk2-unique 0.05-11
perl-guard 1.023-2
perl-html-form 6.03-2
perl-html-parser 3.72-1
perl-html-tagset 3.20-4
perl-http-cookies 6.01-2
perl-http-daemon 6.01-2
perl-http-date 6.02-2
perl-http-message 6.11-2
perl-http-negotiate 6.01-2
perl-http-response-encoding 0.06-3
perl-http-server-simple 0.51-1
perl-image-exiftool 10.15-1
perl-io-html 1.001-1
perl-io-socket-ssl 2.020-1
perl-ipc-system-simple 1.25-1
perl-json 2.90-1
perl-json-xs 3.02-1
perl-libwww 6.15-1
perl-local-lib 2.000019-1
perl-locale-gettext 1.07-1
perl-lwp-mediatypes 6.02-2
perl-lwp-protocol-https 6.06-2
perl-module-pluggable 5.2-1
perl-mouse 2.4.5-1
perl-mozilla-ca 20160104-1
perl-net-dbus 1.1.0-2
perl-net-dropbox-api 1.9-3
perl-net-http 6.09-1
perl-net-oauth 0.28-4
perl-net-ssleay 1.72-3
perl-path-class 0.36-1
perl-perl4-corelibs 0.003-2
perl-proc-processtable 0.53-1
perl-proc-simple 1.32-1
perl-sort-naturally 1.03-1
perl-sub-uplevel 0.25-1
perl-term-animation 2.6-2
perl-test-warn 0.30-1
perl-text-iconv 1.7-10
perl-tree-dag-node 1.29-1
perl-types-serialiser 1.0-1
perl-uri 1.71-1
perl-www-mechanize 1.75-1
perl-www-robotrules 6.02-2
perl-x11-protocol 0.56-6
perl-xml-libxml 2.0124-2
perl-xml-namespacesupport 1.11-3
perl-xml-parser 2.44-2
perl-xml-sax 0.99-4
perl-xml-sax-base 1.08-3
perl-xml-sax-expat 0.51-4
perl-xml-simple 2.22-1
perl-xml-twig 3.49-1
perl-yaml-tiny 1.69-1
perlbrew 0.75-1
phonon-qt4 4.9.0-1
phonon-qt4-gstreamer 4.9.0-1
phonon-qt5 4.9.0-1
phonon-qt5-gstreamer 4.9.0-1
php 7.0.6-3
php-apache 7.0.6-3
php-apcu 5.1.3-1
php-cgi 7.0.6-3
php-composer 1:1.0.3-1
php-docs 7.0.1-1
php-embed 7.0.6-3
php-enchant 7.0.6-3
php-fpm 7.0.6-3
php-gd 7.0.6-3
php-intl 7.0.6-3
